Project,Phase,Task,Start Date,End Date
HPC Script Development,Planning,Requirements Gathering,2024-07-01,2024-07-15
HPC Script Development,Planning,Feasibility Study,2024-07-16,2024-07-31
HPC Script Development,Development,Code Implementation,2024-08-01,2024-09-30
HPC Script Development,Development,Code Review,2024-10-01,2024-10-15
HPC Script Development,Testing,Unit Testing,2024-10-16,2024-11-15
HPC Script Development,Testing,Integration Testing,2024-11-16,2024-12-15
HPC Script Development,Deployment,HPC Deployment,2024-12-16,2025-01-15
HPC Script Development,Maintenance,Performance Optimization,2025-01-16,2025-03-01
Transfer Report,Writing,Draft Report,2024-10-01,2024-11-15
Transfer Report,Review,Internal Review,2024-11-16,2024-11-30
Transfer Report,Revision,Revise Report,2024-12-01,2024-12-15
